file_id,aritfact_id,slug,img_key,is_journal_article
16721164,15830305,azimuthal-angular-correlations-between-d-mesons-and-charged-hadrons-in-proton-proton-collisions-at-13-tev-with-the-alice-experiment-at-the-lhc,artifacts/file/img/d0d01191-4d9f-4b87-9321-216b3cf63c89.png,true
16721675,15830816,empowering-civil-society-through-participatory-investigation-european-round-table-workshop,artifacts/file/img/765116d4-411b-42ec-a622-c605f9f81c69.png,true
16721926,15831067,a-categorization-and-executive-functions-approach-of-food-rejection-in-young-children,artifacts/file/img/359a08dd-dc0d-4b2e-8808-79b738698804.png,true
16722384,15831525,flubendiamide-the-first-phthalic-acid-diamide-insecticide-impairs-neuronal-calcium-signalling-in-the-honey-bees-antennae,artifacts/file/img/f24c63a1-4f0c-42e1-8d21-c01c39397280.png,true
16722443,15831584,paspalum-urvillei-and-setaria-parviflora-two-grasses-naturally-adapted-to-extreme-iron-rich-environments,artifacts/file/img/b06de978-820d-4aed-83c7-0559a128491a.png,true
16722604,15831745,environmental-specificity-in-drosophila-bacteria-symbiosis-affects-host-developmental-plasticity,artifacts/file/img/4ca8765e-aa47-4b17-9f31-b2fa0533d8cd.png,true
16722623,15831764,metabolic-modeling-for-the-optimization-of-cheeses-organoleptic-qualities,artifacts/file/img/4555cef4-49b1-4fbf-91f5-9a800249a8f9.png,true
16722671,15831812,role-of-cd95cd95l-in-triple-negative-breast-cancer-and-ovarian-cancers,artifacts/file/img/c4b3ad4e-7f70-4934-ab42-4c9c81d577c9.png,true
16722972,15832113,distributed-caching-of-scientific-workflows-in-multisite-cloud,artifacts/file/img/d5d57e0a-8c21-4ad2-a2ec-409e9f6dde64.png,true
16723074,15832215,respiratory-effects-of-electronic-nicotine-delivery-systems,artifacts/file/img/def13ac8-a5dc-4b69-924f-9d5f8013fff5.png,false
16723128,15832269,coconut-genome-assembly-enables-evolutionary-analysis-of-palms-and-highlights-signaling-pathways-involved-in-salt-tolerance,artifacts/file/img/a623951a-fd16-44b9-b7b0-2a67187ebe48.png,true
16723153,15832294,overview-of-lifeclef-plant-identification-task-2020,artifacts/file/img/a8597b26-e14e-4e91-b193-011e84101a5e.png,true
16723187,15832328,artificial-intelligence-and-animal-health,artifacts/file/img/249e1f1e-bb76-48a6-83dd-2f20518e80f1.png,true
16723281,15832422,development-of-bayesian-variable-selection-methods-to-integrate-expert-information,artifacts/file/img/f4d8a46e-66ea-4765-ba39-d8b2e04462ad.png,true
16723351,15832492,sequential-fusion-of-information-from-two-portable-spectrometers-for-improved-prediction-of-moisture-and-soluble-solids-content-in-pear-fruit,artifacts/file/img/e12a3e3c-1288-4f1d-897a-d3f63d9cfb13.png,true
16723392,15832533,genoparfum,artifacts/file/img/859cc698-02eb-45c6-9eec-16d522d61792.png,true
